Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012,3,2,0,0,0.067,185.778,3.543,275.94,102204.928,1.278
2012,3,2,0,5,0.067,186.058,3.549,275.925,102207.672,1.278
2012,3,2,0,10,0.075,186.624,3.622,275.907,102212.248,1.278
2012,3,2,0,15,0.085,187.454,3.732,275.885,102215.0,1.278
2012,3,2,0,20,0.091,188.096,3.793,275.87,102219.576,1.278
2012,3,2,0,25,0.092,188.277,3.802,275.852,102223.232,1.278
2012,3,2,0,30,0.094,188.096,3.824,275.833,102226.896,1.278
2012,3,2,0,35,0.098,187.921,3.869,275.818,102235.144,1.279
2012,3,2,0,40,0.103,187.756,3.912,275.803,102239.72,1.279
2012,3,2,0,45,0.113,187.696,3.988,275.785,102244.296,1.279
2012,3,2,0,50,0.133,188.201,4.107,275.772,102247.96,1.279
2012,3,2,0,55,0.153,189.135,4.229,275.757,102250.704,1.279
2012,3,2,1,0,0.174,190.266,4.351,275.748,102254.368,1.279
2012,3,2,1,5,0.198,192.013,4.498,275.742,102258.944,1.279
2012,3,2,1,10,0.228,193.946,4.675,275.739,102262.608,1.279
2012,3,2,1,15,0.261,195.929,4.876,275.736,102268.104,1.279
2012,3,2,1,20,0.294,197.012,5.032,275.73,102272.68,1.28
2012,3,2,1,25,0.32,197.424,5.142,275.717,102276.336,1.28
2012,3,2,1,30,0.34,197.386,5.224,275.702,102280.0,1.28
2012,3,2,1,35,0.367,197.638,5.34,275.687,102283.664,1.28
2012,3,2,1,40,0.402,198.523,5.49,275.672,102286.416,1.28
2012,3,2,1,45,0.445,199.792,5.673,275.656,102290.072,1.28
2012,3,2,1,50,0.483,201.105,5.835,275.644,102293.736,1.28
2012,3,2,1,55,0.525,202.45,5.987,275.635,102293.736,1.28
2012,3,2,2,0,0.569,203.483,6.131,275.623,102296.488,1.28
2012,3,2,2,5,0.608,204.445,6.256,275.614,102295.56,1.28
2012,3,2,2,10,0.64,205.302,6.36,275.592,102293.736,1.28
2012,3,2,2,15,0.661,206.109,6.427,275.574,102293.736,1.281
2012,3,2,2,20,0.678,206.906,6.482,275.556,102294.648,1.281
2012,3,2,2,25,0.669,207.389,6.454,275.537,102294.648,1.281
2012,3,2,2,30,0.672,207.554,6.463,275.525,102296.488,1.281
2012,3,2,2,35,0.682,207.581,6.494,275.513,102297.4,1.281
2012,3,2,2,40,0.668,207.878,6.448,275.501,102297.4,1.281
2012,3,2,2,45,0.667,208.372,6.445,275.492,102298.312,1.281
2012,3,2,2,50,0.714,208.351,6.598,275.489,102297.4,1.281
2012,3,2,2,55,0.768,207.593,6.772,275.489,102298.312,1.281
2012,3,2,3,0,0.855,206.867,7.022,275.482,102301.064,1.281
2012,3,2,3,5,0.916,206.911,7.177,275.479,102305.64,1.281
2012,3,2,3,10,0.98,207.383,7.342,275.479,102311.136,1.281
2012,3,2,3,15,1.031,207.773,7.473,275.485,102316.624,1.281
2012,3,2,3,20,1.073,208.218,7.58,275.495,102321.2,1.281
2012,3,2,3,25,1.102,209.108,7.654,275.507,102324.864,1.281
2012,3,2,3,30,1.101,210.125,7.654,275.516,102328.52,1.281
2012,3,2,3,35,1.078,210.839,7.593,275.531,102331.272,1.281
2012,3,2,3,40,1.06,211.372,7.547,275.54,102334.936,1.281
2012,3,2,3,45,1.054,211.531,7.532,275.55,102336.768,1.281
2012,3,2,3,50,1.036,211.256,7.486,275.556,102340.432,1.281
2012,3,2,3,55,1.011,211.004,7.422,275.553,102345.92,1.281
2012,3,2,4,0,0.974,211.19,7.327,275.547,102350.496,1.281
2012,3,2,4,5,0.883,211.311,7.092,275.54,102355.08,1.281
2012,3,2,4,10,0.767,210.905,6.769,275.537,102359.656,1.281
2012,3,2,4,15,0.666,209.653,6.442,275.537,102360.568,1.281
2012,3,2,4,20,0.636,208.0,6.344,275.547,102364.232,1.281
2012,3,2,4,25,0.657,207.456,6.415,275.562,102366.976,1.281
2012,3,2,4,30,0.649,207.197,6.387,275.58,102366.064,1.281
2012,3,2,4,35,0.619,206.439,6.292,275.626,102367.896,1.281
2012,3,2,4,40,0.613,206.005,6.274,275.699,102373.392,1.28
2012,3,2,4,45,0.682,206.95,6.497,275.772,102377.056,1.28
2012,3,2,4,50,0.784,208.597,6.826,275.833,102380.712,1.28
2012,3,2,4,55,0.934,210.734,7.226,275.852,102385.288,1.28
2012,3,2,5,0,1.105,212.986,7.666,275.846,102388.04,1.28
2012,3,2,5,5,1.3,215.315,8.169,275.855,102391.704,1.28
2012,3,2,5,10,1.474,215.947,8.621,275.861,102392.616,1.279
2012,3,2,5,15,1.539,214.778,8.792,275.873,102393.528,1.279
2012,3,2,5,20,1.526,213.212,8.758,275.943,102394.448,1.278
2012,3,2,5,25,1.477,211.652,8.633,276.016,102392.616,1.278
2012,3,2,5,30,1.477,210.388,8.633,276.084,102394.448,1.278
2012,3,2,5,35,1.477,209.295,8.633,276.151,102396.28,1.278
2012,3,2,5,40,1.415,207.318,8.472,276.193,102392.616,1.277
2012,3,2,5,45,1.372,205.686,8.362,276.239,102390.784,1.277
2012,3,2,5,50,1.386,205.692,8.398,276.276,102390.784,1.277
2012,3,2,5,55,1.348,205.796,8.301,276.306,102393.528,1.277
2012,3,2,6,0,1.266,205.626,8.087,276.337,102392.616,1.277
2012,3,2,6,5,1.249,205.549,8.041,276.355,102394.448,1.277
2012,3,2,6,10,1.286,206.181,8.139,276.361,102398.112,1.277
2012,3,2,6,15,1.291,206.395,8.151,276.364,102397.192,1.277
2012,3,2,6,20,1.29,205.56,8.148,276.383,102393.528,1.277
2012,3,2,6,25,1.313,204.066,8.209,276.41,102390.784,1.277
