Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012,7,2,0,0,0.002,92.194,2.221,286.344,101152.952,1.22
2012,7,2,0,5,0.002,90.958,2.194,286.32,101149.296,1.22
2012,7,2,0,10,0.001,90.782,2.142,286.307,101149.296,1.22
2012,7,2,0,15,0.0,93.468,2.075,286.295,101154.792,1.22
2012,7,2,0,20,0.0,97.813,2.029,286.265,101153.864,1.22
2012,7,2,0,25,0.0,102.427,2.084,286.24,101161.192,1.22
2012,7,2,0,30,0.001,105.152,2.166,286.207,101161.192,1.221
2012,7,2,0,35,0.002,104.428,2.215,286.176,101152.952,1.221
2012,7,2,0,40,0.003,102.049,2.288,286.155,101150.208,1.221
2012,7,2,0,45,0.003,100.407,2.343,286.149,101152.952,1.221
2012,7,2,0,50,0.002,101.016,2.273,286.146,101152.04,1.221
2012,7,2,0,55,0.001,102.933,2.139,286.143,101143.8,1.221
2012,7,2,1,0,0.0,105.229,2.056,286.149,101144.72,1.221
2012,7,2,1,5,0.0,107.498,2.062,286.124,101146.544,1.221
2012,7,2,1,10,0.001,108.064,2.102,286.121,101148.376,1.221
2012,7,2,1,15,0.0,107.817,2.053,286.115,101140.144,1.221
2012,7,2,1,20,0.0,105.966,1.989,286.143,101135.56,1.221
2012,7,2,1,25,0.0,102.598,1.895,286.155,101133.728,1.22
2012,7,2,1,30,0.0,101.202,1.754,286.164,101129.152,1.22
2012,7,2,1,35,0.0,102.158,1.657,286.179,101123.656,1.22
2012,7,2,1,40,0.0,104.349,1.626,286.191,101126.408,1.22
2012,7,2,1,45,0.0,109.837,1.535,286.207,101125.496,1.22
2012,7,2,1,50,0.0,119.054,1.419,286.207,101120.912,1.22
2012,7,2,1,55,0.0,131.802,1.339,286.207,101115.416,1.22
2012,7,2,2,0,0.0,143.925,1.324,286.197,101112.672,1.22
2012,7,2,2,5,0.0,153.027,1.324,286.185,101111.76,1.22
2012,7,2,2,10,0.0,161.601,1.318,286.152,101113.584,1.22
2012,7,2,2,15,0.0,173.318,1.351,286.109,101106.264,1.22
2012,7,2,2,20,0.0,181.796,1.489,286.054,101095.272,1.22
2012,7,2,2,25,0.0,185.269,1.635,286.008,101095.272,1.221
2012,7,2,2,30,0.0,188.094,1.712,285.975,101097.112,1.221
2012,7,2,2,35,0.0,191.853,1.702,285.935,101092.528,1.221
2012,7,2,2,40,0.0,194.193,1.635,285.914,101090.696,1.221
2012,7,2,2,45,0.0,195.061,1.602,285.904,101100.768,1.221
2012,7,2,2,50,0.0,198.868,1.647,285.883,101102.6,1.221
2012,7,2,2,55,0.0,202.526,1.702,285.853,101101.688,1.221
2012,7,2,3,0,0.0,205.01,1.773,285.819,101102.6,1.221
2012,7,2,3,5,0.0,206.208,1.852,285.804,101098.936,1.221
2012,7,2,3,10,0.0,205.318,1.904,285.761,101098.024,1.222
2012,7,2,3,15,0.0,203.604,1.974,285.734,101098.024,1.222
2012,7,2,3,20,0.0,202.286,2.056,285.685,101101.688,1.222
2012,7,2,3,25,0.001,202.456,2.154,285.648,101100.768,1.222
2012,7,2,3,30,0.002,203.797,2.236,285.605,101098.024,1.222
2012,7,2,3,35,0.003,206.626,2.307,285.538,101084.288,1.222
