date,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012/1/1 7:15,0.0,305.369,1.873,278.736,101899.136,1.248
2012/1/1 7:20,0.0,305.66,1.742,278.763,101895.472,1.248
2012/1/1 7:25,0.0,306.193,1.586,278.797,101889.976,1.247
2012/1/1 7:30,0.0,304.227,1.416,278.821,101889.064,1.247
2012/1/1 7:35,0.0,299.581,1.29,278.836,101889.064,1.246
2012/1/1 7:40,0.0,295.313,1.214,278.855,101888.152,1.246
2012/1/1 7:45,0.0,292.275,1.135,278.876,101886.312,1.246
2012/1/1 7:50,0.0,292.204,1.007,278.925,101885.4,1.245
2012/1/1 7:55,0.0,287.454,0.869,278.946,101884.488,1.245
2012/1/1 8:00,0.0,275.755,0.726,278.968,101883.568,1.245
2012/1/1 8:05,0.0,263.671,0.653,279.01,101885.4,1.244
2012/1/1 8:10,0.0,252.252,0.595,279.056,101887.224,1.244
2012/1/1 8:15,0.0,240.734,0.57,279.099,101888.152,1.244
2012/1/1 8:20,0.0,231.604,0.573,279.142,101887.224,1.243
2012/1/1 8:25,0.0,221.167,0.567,279.187,101888.152,1.243
2012/1/1 8:30,0.0,209.695,0.546,279.251,101884.488,1.242
2012/1/1 8:35,0.0,213.47,0.549,279.34,101883.568,1.242
2012/1/1 8:40,0.0,220.356,0.527,279.377,101882.656,1.241
2012/1/1 8:45,0.0,220.667,0.476,279.413,101881.736,1.241
2012/1/1 8:50,0.0,207.176,0.43,279.511,101878.08,1.24
2012/1/1 8:55,0.0,182.615,0.47,279.541,101878.08,1.24
2012/1/1 9:00,0.0,162.04,0.552,279.578,101878.992,1.239
2012/1/1 9:05,0.0,148.872,0.65,279.694,101878.992,1.239
2012/1/1 9:10,0.0,142.345,0.741,279.731,101877.16,1.238
2012/1/1 9:15,0.0,135.869,0.79,279.767,101872.584,1.238
2012/1/1 9:20,0.0,130.442,0.833,279.911,101869.832,1.237
2012/1/1 9:25,0.0,125.938,0.894,279.947,101865.256,1.237
2012/1/1 9:30,0.0,130.025,0.933,279.975,101863.432,1.237
2012/1/1 9:35,0.0,132.761,0.973,280.152,101860.68,1.236
2012/1/1 9:40,0.0,136.007,1.007,280.201,101857.928,1.236
2012/1/1 9:45,0.0,139.425,1.086,280.252,101856.104,1.236
2012/1/1 9:50,0.0,143.365,1.22,280.436,101851.52,1.235
