date,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012/1/1 17:55,0.268,127.949,5.001,282.422,101381.84,1.216
2012/1/1 18:00,0.22,128.208,4.708,282.352,101377.264,1.216
2012/1/1 18:05,0.184,127.9,4.488,282.273,101371.776,1.216
2012/1/1 18:10,0.156,127.379,4.317,282.218,101369.032,1.216
2012/1/1 18:15,0.143,127.89,4.235,282.175,101365.368,1.216
2012/1/1 18:20,0.129,128.708,4.153,282.117,101358.952,1.216
2012/1/1 18:25,0.121,129.153,4.101,282.077,101352.544,1.216
2012/1/1 18:30,0.114,129.466,4.058,282.044,101348.88,1.216
2012/1/1 18:35,0.109,129.868,4.031,282.004,101344.304,1.216
2012/1/1 18:40,0.113,130.098,4.052,281.977,101337.896,1.216
2012/1/1 18:45,0.117,130.417,4.076,281.955,101334.232,1.216
2012/1/1 18:50,0.124,130.576,4.122,281.934,101326.912,1.216
2012/1/1 18:55,0.134,130.011,4.18,281.919,101323.248,1.216
2012/1/1 19:00,0.144,129.522,4.244,281.903,101317.76,1.216
2012/1/1 19:05,0.155,129.088,4.308,281.894,101314.096,1.216
2012/1/1 19:10,0.164,128.593,4.363,281.882,101310.432,1.216
2012/1/1 19:15,0.172,127.984,4.412,281.87,101306.768,1.216
2012/1/1 19:20,0.192,128.61,4.534,281.861,101304.024,1.216
2012/1/1 19:25,0.206,129.209,4.623,281.855,101301.272,1.216
2012/1/1 19:30,0.215,129.193,4.674,281.849,101297.616,1.217
2012/1/1 19:35,0.218,129.506,4.696,281.845,101293.952,1.217
2012/1/1 19:40,0.219,130.247,4.702,281.824,101292.12,1.217
2012/1/1 19:45,0.219,131.296,4.702,281.8,101289.376,1.217
2012/1/1 19:50,0.221,132.285,4.714,281.8,101286.624,1.217
2012/1/1 19:55,0.226,133.109,4.742,281.781,101284.8,1.217
2012/1/1 20:00,0.237,133.521,4.812,281.769,101283.88,1.217
2012/1/1 20:05,0.254,133.911,4.913,281.784,101282.048,1.217
2012/1/1 20:10,0.275,135.712,5.035,281.784,101282.048,1.217
2012/1/1 20:15,0.278,138.618,5.047,281.784,101282.048,1.217
2012/1/1 20:20,0.278,140.431,5.047,281.781,101280.216,1.217
2012/1/1 20:25,0.294,140.366,5.114,281.772,101279.304,1.217
2012/1/1 20:30,0.301,139.58,5.148,281.763,101275.64,1.217
2012/1/1 20:35,0.294,139.361,5.114,281.748,101271.064,1.217
2012/1/1 20:40,0.28,139.97,5.056,281.733,101269.232,1.217
2012/1/1 20:45,0.287,140.322,5.087,281.687,101266.488,1.217
2012/1/1 20:50,0.29,140.597,5.099,281.632,101264.656,1.217
2012/1/1 20:55,0.296,141.427,5.123,281.595,101262.824,1.217
2012/1/1 21:00,0.302,142.36,5.148,281.586,101260.08,1.217
2012/1/1 21:05,0.296,143.042,5.123,281.586,101260.08,1.217
2012/1/1 21:10,0.29,143.289,5.099,281.583,101259.168,1.217
2012/1/1 21:15,0.28,143.635,5.056,281.574,101258.24,1.217
2012/1/1 21:20,0.281,144.102,5.059,281.571,101255.504,1.217
2012/1/1 21:25,0.307,144.789,5.172,281.534,101256.416,1.217
2012/1/1 21:30,0.357,145.376,5.389,281.482,101253.664,1.217
2012/1/1 21:35,0.385,145.3,5.508,281.427,101250.92,1.217
2012/1/1 21:40,0.389,145.426,5.526,281.379,101249.088,1.217
2012/1/1 21:45,0.407,146.167,5.606,281.315,101248.168,1.217
2012/1/1 21:50,0.432,146.337,5.712,281.254,101247.256,1.217
2012/1/1 21:55,0.451,146.359,5.795,281.22,101244.504,1.217
2012/1/1 22:00,0.448,146.562,5.783,281.208,101242.68,1.217
2012/1/1 22:05,0.429,147.32,5.7,281.171,101243.592,1.218
2012/1/1 22:10,0.418,148.479,5.648,281.159,101242.68,1.218
2012/1/1 22:15,0.408,149.627,5.609,281.156,101240.848,1.218
2012/1/1 22:20,0.42,150.44,5.658,281.174,101237.184,1.218
2012/1/1 22:25,0.432,151.253,5.709,281.186,101234.44,1.218
2012/1/1 22:30,0.445,151.621,5.767,281.205,101229.856,1.218
2012/1/1 22:35,0.447,150.984,5.777,281.193,101224.368,1.217
2012/1/1 22:40,0.471,150.978,5.88,281.183,101221.624,1.217
2012/1/1 22:45,0.485,152.038,5.941,281.171,101220.712,1.217
2012/1/1 22:50,0.486,153.104,5.947,281.15,101218.872,1.217
2012/1/1 22:55,0.483,153.428,5.932,281.144,101216.136,1.216
2012/1/1 23:00,0.478,153.439,5.914,281.153,101213.384,1.216
2012/1/1 23:05,0.455,153.999,5.813,281.107,101210.632,1.217
2012/1/1 23:10,0.427,154.944,5.691,281.092,101207.888,1.217
2012/1/1 23:15,0.418,155.17,5.651,281.089,101203.312,1.217
2012/1/1 23:20,0.418,155.472,5.652,281.052,101203.312,1.216
2012/1/1 23:25,0.421,155.988,5.667,281.043,101200.56,1.216
2012/1/1 23:30,0.444,156.367,5.767,281.034,101198.736,1.216
2012/1/1 23:35,0.456,156.812,5.819,281.016,101198.736,1.215
2012/1/1 23:40,0.445,157.773,5.771,281.034,101197.824,1.215
2012/1/1 23:45,0.403,159.35,5.591,281.092,101196.896,1.215
2012/1/1 23:50,0.405,160.739,5.6,281.128,101197.824,1.215
2012/1/1 23:55,0.419,161.662,5.661,281.171,101196.896,1.215
2012/1/2 0:00,0.422,162.788,5.673,281.199,101193.24,1.214
2012/1/2 0:05,0.432,164.277,5.716,281.226,101189.576,1.214
2012/1/2 0:10,0.47,166.43,5.883,281.217,101182.248,1.214
2012/1/2 0:15,0.558,168.001,6.204,281.174,101176.76,1.214
2012/1/2 0:20,0.7,168.111,6.674,281.113,101171.264,1.213
2012/1/2 0:25,0.834,166.974,7.095,281.055,101165.776,1.213
2012/1/2 0:30,0.919,165.651,7.318,281.028,101161.192,1.213
2012/1/2 0:35,0.886,164.948,7.229,281.031,101156.616,1.213
2012/1/2 0:40,0.851,164.848,7.138,281.022,101151.128,1.213
2012/1/2 0:45,0.768,164.568,6.893,281.012,101145.632,1.214
2012/1/2 0:50,0.673,164.612,6.582,280.976,101140.144,1.214
2012/1/2 0:55,0.613,164.474,6.384,280.954,101136.48,1.215
2012/1/2 1:00,0.606,164.628,6.359,280.933,101129.152,1.215
2012/1/2 1:05,0.656,165.057,6.524,280.915,101124.568,1.214
2012/1/2 1:10,0.733,165.798,6.781,280.896,101119.08,1.214
2012/1/2 1:15,0.752,166.254,6.842,280.872,101111.76,1.214
2012/1/2 1:20,0.731,166.414,6.775,280.842,101106.264,1.214
2012/1/2 1:25,0.675,166.298,6.588,280.808,101105.344,1.214
2012/1/2 1:30,0.594,166.227,6.323,280.774,101104.432,1.214
2012/1/2 1:35,0.516,166.447,6.067,280.741,101099.848,1.214
2012/1/2 1:40,0.457,167.089,5.825,280.71,101098.024,1.215
2012/1/2 1:45,0.461,167.243,5.844,280.68,101094.36,1.214
2012/1/2 1:50,0.454,167.826,5.81,280.646,101094.36,1.214
2012/1/2 1:55,0.442,168.787,5.758,280.613,101087.04,1.214
2012/1/2 2:00,0.416,170.105,5.648,280.582,101082.464,1.214
2012/1/2 2:05,0.392,171.561,5.545,280.549,101077.88,1.215
2012/1/2 2:10,0.366,172.94,5.429,280.518,101071.472,1.215
2012/1/2 2:15,0.353,174.132,5.374,280.488,101066.888,1.215
2012/1/2 2:20,0.359,174.846,5.398,280.448,101062.312,1.215
2012/1/2 2:25,0.376,175.373,5.475,280.411,101056.824,1.215
2012/1/2 2:30,0.407,176.027,5.609,280.369,101050.416,1.214
2012/1/2 2:35,0.4,176.95,5.578,280.353,101047.664,1.214
2012/1/2 2:40,0.372,177.692,5.456,280.353,101045.832,1.215
2012/1/2 2:45,0.355,177.983,5.383,280.35,101042.168,1.215
2012/1/2 2:50,0.346,177.857,5.343,280.347,101039.432,1.215
2012/1/2 2:55,0.347,177.401,5.346,280.329,101034.848,1.215
2012/1/2 3:00,0.359,176.632,5.401,280.314,101031.184,1.215
2012/1/2 3:05,0.387,175.665,5.52,280.271,101025.696,1.215
2012/1/2 3:10,0.428,174.923,5.697,280.253,101022.032,1.215
2012/1/2 3:15,0.481,174.594,5.929,280.228,101018.368,1.214
2012/1/2 3:20,0.529,174.869,6.106,280.219,101015.624,1.215
2012/1/2 3:25,0.602,174.896,6.347,280.219,101013.792,1.214
2012/1/2 3:30,0.645,175.786,6.491,280.191,101011.048,1.214
2012/1/2 3:35,0.644,177.171,6.487,280.133,101010.136,1.214
2012/1/2 3:40,0.624,177.61,6.42,280.057,101006.472,1.214
2012/1/2 3:45,0.626,177.611,6.426,279.996,101003.72,1.214
2012/1/2 3:50,0.641,177.754,6.475,279.944,101000.976,1.214
2012/1/2 3:55,0.67,178.567,6.57,279.905,100998.224,1.214
2012/1/2 4:00,0.678,180.347,6.597,279.819,100996.4,1.214
2012/1/2 4:05,0.638,183.187,6.466,279.661,100994.56,1.215
2012/1/2 4:10,0.627,185.522,6.43,279.548,100993.648,1.215
2012/1/2 4:15,0.717,187.191,6.726,279.34,100992.736,1.214
2012/1/2 4:20,0.778,188.433,6.927,279.285,100990.896,1.214
2012/1/2 4:25,0.774,189.62,6.915,279.233,100988.16,1.214
2012/1/2 4:30,0.728,191.262,6.762,279.142,100987.24,1.214
2012/1/2 4:35,0.635,193.339,6.457,279.032,100987.232,1.215
2012/1/2 4:40,0.514,195.761,6.057,278.94,100982.664,1.215
2012/1/2 4:45,0.388,198.914,5.523,278.818,100981.744,1.216
