Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012,11,1,0,0,1.258,179.446,8.24,285.053,100126.616,1.198
2012,11,1,0,5,1.198,173.255,8.078,285.117,100118.376,1.198
2012,11,1,0,10,1.271,166.79,8.27,285.12,100118.376,1.199
2012,11,1,0,15,1.373,164.894,8.542,285.05,100117.464,1.199
2012,11,1,0,20,1.395,166.81,8.603,284.839,100121.128,1.198
2012,11,1,0,25,1.342,167.887,8.462,284.785,100124.792,1.198
2012,11,1,0,30,1.304,167.212,8.362,284.751,100123.872,1.198
2012,11,1,0,35,1.35,167.228,8.484,284.821,100120.208,1.197
2012,11,1,0,40,1.338,167.783,8.453,284.76,100124.792,1.197
2012,11,1,0,45,1.206,168.398,8.102,284.672,100125.704,1.197
2012,11,1,0,50,1.083,169.887,7.779,285.05,100135.776,1.198
2012,11,1,0,55,1.026,171.716,7.626,285.059,100144.016,1.199
2012,11,1,1,0,1.012,174.837,7.586,285.035,100148.592,1.201
2012,11,1,1,5,0.97,179.764,7.47,285.05,100152.256,1.203
2012,11,1,1,10,0.837,185.933,7.12,284.94,100154.088,1.204
2012,11,1,1,15,0.647,192.53,6.512,284.775,100155.0,1.206
2012,11,1,1,20,0.447,198.204,5.795,284.571,100144.016,1.205
2012,11,1,1,25,0.365,201.33,5.441,284.601,100142.176,1.205
2012,11,1,1,30,0.317,201.918,5.23,284.607,100142.176,1.205
2012,11,1,1,35,0.313,200.006,5.215,284.601,100146.76,1.205
2012,11,1,1,40,0.289,194.59,5.108,284.577,100149.504,1.206
2012,11,1,1,45,0.222,183.407,4.73,284.498,100149.504,1.207
2012,11,1,1,50,0.236,170.009,4.818,284.717,100152.256,1.208
2012,11,1,1,55,0.351,160.324,5.377,284.736,100155.0,1.208
2012,11,1,2,0,0.53,153.577,6.124,284.772,100150.424,1.206
2012,11,1,2,5,0.683,152.27,6.631,284.83,100148.592,1.204
2012,11,1,2,10,0.687,150.441,6.646,284.882,100145.84,1.204
2012,11,1,2,15,0.599,139.878,6.356,284.907,100144.016,1.204
2012,11,1,2,20,0.519,134.203,6.088,284.937,100151.336,1.206
2012,11,1,2,25,0.435,129.352,5.74,284.891,100153.168,1.207
2012,11,1,2,30,0.328,128.544,5.276,284.8,100153.168,1.207
2012,11,1,2,35,0.198,130.921,4.587,284.751,100154.088,1.208
2012,11,1,2,40,0.14,132.507,4.226,284.754,100154.088,1.207
2012,11,1,2,45,0.153,130.919,4.306,284.809,100160.496,1.208
2012,11,1,2,50,0.175,130.661,4.446,284.842,100166.904,1.207
2012,11,1,2,55,0.234,132.123,4.803,284.913,100169.648,1.207
2012,11,1,3,0,0.404,135.766,5.606,285.01,100170.56,1.206
2012,11,1,3,5,0.601,138.392,6.356,285.099,100176.056,1.207
2012,11,1,3,10,0.696,139.947,6.671,285.135,100176.056,1.207
2012,11,1,3,15,0.706,145.523,6.704,285.145,100172.4,1.207
2012,11,1,3,20,0.729,153.603,6.781,285.154,100176.056,1.206
2012,11,1,3,25,0.707,159.46,6.707,285.154,100177.888,1.206
2012,11,1,3,30,0.615,162.086,6.402,285.096,100179.72,1.207
2012,11,1,3,35,0.487,165.218,5.966,284.983,100184.296,1.209
2012,11,1,3,40,0.381,165.476,5.502,284.919,100187.96,1.209
2012,11,1,3,45,0.343,162.17,5.337,284.897,100189.792,1.209
2012,11,1,3,50,0.422,158.687,5.682,284.885,100195.28,1.21
2012,11,1,3,55,0.523,159.669,6.097,284.907,100196.2,1.21
2012,11,1,4,0,0.552,163.239,6.192,284.968,100196.2,1.21
2012,11,1,4,5,0.628,166.656,6.445,284.87,100199.856,1.209
2012,11,1,4,10,0.614,163.477,6.399,284.913,100202.608,1.207
2012,11,1,4,15,0.629,154.458,6.451,284.955,100201.696,1.206
2012,11,1,4,20,0.802,150.458,7.022,285.209,100207.184,1.205
2012,11,1,4,25,0.968,156.01,7.461,285.322,100205.36,1.205
2012,11,1,4,30,0.946,163.502,7.4,285.389,100209.936,1.206
2012,11,1,4,35,0.885,167.348,7.238,285.349,100214.512,1.208
2012,11,1,4,40,0.825,168.277,7.08,285.236,100220.008,1.209
2012,11,1,4,45,0.793,169.447,6.985,285.111,100228.24,1.209
2012,11,1,4,50,0.698,172.375,6.671,284.959,100232.824,1.21
2012,11,1,4,55,0.512,172.337,6.058,284.836,100233.736,1.211
2012,11,1,5,0,0.409,163.995,5.621,284.754,100237.4,1.212
2012,11,1,5,5,0.448,152.256,5.789,284.681,100242.888,1.213
2012,11,1,5,10,0.522,151.294,6.085,284.556,100246.552,1.214
2012,11,1,5,15,0.632,156.649,6.448,284.504,100240.152,1.213
2012,11,1,5,20,0.724,160.895,6.753,284.577,100236.488,1.213
2012,11,1,5,25,0.701,162.433,6.677,284.65,100239.232,1.212
2012,11,1,5,30,0.678,162.004,6.601,284.711,100242.888,1.212
2012,11,1,5,35,0.709,160.384,6.704,284.723,100245.64,1.212
2012,11,1,5,40,0.714,159.702,6.72,284.727,100245.64,1.212
2012,11,1,5,45,0.67,160.219,6.576,284.72,100250.216,1.212
2012,11,1,5,50,0.637,160.049,6.466,284.693,100252.048,1.212
2012,11,1,5,55,0.633,159.186,6.454,284.684,100252.96,1.212
2012,11,1,6,0,0.623,159.109,6.421,284.678,100249.304,1.212
2012,11,1,6,5,0.575,159.949,6.262,284.662,100247.472,1.212
2012,11,1,6,10,0.507,159.29,6.039,284.65,100252.968,1.212
2012,11,1,6,15,0.48,157.988,5.929,284.632,100254.8,1.213
2012,11,1,6,20,0.488,154.852,5.963,284.589,100258.464,1.213
2012,11,1,6,25,0.498,151.737,6.005,284.553,100262.12,1.213
2012,11,1,6,30,0.498,150.726,6.005,284.51,100267.616,1.213
2012,11,1,6,35,0.47,150.578,5.883,284.568,100274.024,1.213
2012,11,1,6,40,0.445,150.265,5.774,284.571,100281.344,1.213
2012,11,1,6,45,0.435,148.952,5.731,284.553,100283.176,1.213
2012,11,1,6,50,0.454,147.568,5.813,284.553,100283.176,1.213
2012,11,1,6,55,0.488,147.145,5.96,284.571,100286.84,1.213
2012,11,1,7,0,0.518,147.343,6.076,284.595,100289.584,1.213
2012,11,1,7,5,0.562,148.666,6.219,284.641,100290.496,1.213
2012,11,1,7,10,0.605,150.006,6.363,284.684,100295.992,1.212
2012,11,1,7,15,0.584,150.825,6.292,284.702,100301.496,1.212
2012,11,1,7,20,0.496,151.758,5.999,284.702,100307.896,1.212
2012,11,1,7,25,0.398,153.884,5.572,284.687,100313.392,1.212
2012,11,1,7,30,0.3,157.537,5.148,284.65,100317.968,1.212
2012,11,1,7,35,0.32,155.863,5.233,284.623,100327.128,1.213
2012,11,1,7,40,0.438,148.925,5.746,284.595,100332.616,1.214
2012,11,1,7,45,0.495,143.898,5.99,284.589,100336.28,1.213
2012,11,1,7,50,0.504,141.64,6.03,284.626,100340.856,1.212
2012,11,1,7,55,0.574,141.865,6.262,284.684,100344.52,1.212
2012,11,1,8,0,0.676,143.562,6.597,284.751,100351.84,1.211
2012,11,1,8,5,0.738,145.649,6.802,284.815,100357.336,1.21
2012,11,1,8,10,0.77,148.934,6.909,284.888,100365.576,1.21
2012,11,1,8,15,0.783,153.12,6.952,284.968,100371.984,1.21
2012,11,1,8,20,0.804,157.674,7.022,285.077,100382.056,1.209
2012,11,1,8,25,0.821,161.619,7.068,285.184,100390.296,1.209
2012,11,1,8,30,0.864,165.058,7.181,285.251,100398.536,1.209
2012,11,1,8,35,0.834,167.222,7.098,285.346,100409.52,1.21
2012,11,1,8,40,0.758,166.904,6.866,285.322,100411.36,1.211
2012,11,1,8,45,0.703,165.569,6.686,285.291,100414.104,1.211
2012,11,1,8,50,0.622,166.755,6.418,285.508,100422.344,1.212
2012,11,1,8,55,0.592,169.452,6.32,285.551,100426.008,1.212
2012,11,1,9,0,0.612,171.781,6.384,285.538,100430.576,1.213
2012,11,1,9,5,0.636,172.254,6.46,285.642,100436.992,1.213
2012,11,1,9,10,0.591,173.666,6.314,285.63,100440.656,1.214
2012,11,1,9,15,0.555,175.511,6.195,285.645,100441.568,1.213
2012,11,1,9,20,0.611,176.61,6.381,285.477,100444.312,1.213
2012,11,1,9,25,0.681,174.82,6.61,285.468,100449.816,1.213
2012,11,1,9,30,0.773,173.111,6.912,285.45,100458.048,1.214
2012,11,1,9,35,0.906,173.386,7.281,285.441,100457.136,1.213
2012,11,1,9,40,0.952,173.952,7.403,285.465,100459.88,1.213
2012,11,1,9,45,0.909,173.172,7.29,285.465,100464.464,1.214
2012,11,1,9,50,0.834,170.118,7.092,285.529,100470.864,1.214
2012,11,1,9,55,0.757,170.694,6.857,285.508,100474.528,1.214
