Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2012,5,2,0,0,0.466,206.966,5.816,279.667,100927.728,1.246
2012,5,2,0,5,0.474,207.543,5.847,279.609,100927.728,1.246
2012,5,2,0,10,0.479,207.955,5.868,279.551,100927.728,1.246
2012,5,2,0,15,0.481,207.922,5.877,279.496,100931.392,1.247
2012,5,2,0,20,0.482,207.406,5.884,279.447,100929.552,1.247
2012,5,2,0,25,0.467,205.928,5.816,279.407,100931.392,1.247
2012,5,2,0,30,0.446,204.11,5.728,279.377,100931.392,1.247
2012,5,2,0,35,0.421,202.336,5.618,279.337,100928.64,1.247
2012,5,2,0,40,0.394,200.869,5.502,279.3,100931.392,1.247
2012,5,2,0,45,0.382,200.309,5.45,279.248,100931.392,1.248
2012,5,2,0,50,0.366,199.869,5.38,279.197,100931.392,1.248
2012,5,2,0,55,0.353,199.413,5.325,279.142,100935.968,1.248
2012,5,2,1,0,0.342,198.825,5.276,279.084,100938.712,1.249
2012,5,2,1,5,0.339,198.172,5.264,279.023,100940.544,1.249
2012,5,2,1,10,0.35,197.979,5.31,278.959,100938.712,1.249
2012,5,2,1,15,0.363,197.913,5.368,278.894,100936.88,1.249
2012,5,2,1,20,0.37,198.029,5.395,278.833,100938.712,1.25
2012,5,2,1,25,0.364,198.111,5.371,278.778,100940.544,1.25
2012,5,2,1,30,0.339,197.842,5.264,278.727,100942.376,1.25
2012,5,2,1,35,0.317,197.683,5.169,278.675,100944.208,1.25
2012,5,2,1,40,0.304,197.754,5.111,278.623,100943.288,1.251
2012,5,2,1,45,0.298,198.556,5.084,278.577,100946.04,1.251
2012,5,2,1,50,0.29,199.495,5.05,278.528,100944.208,1.251
2012,5,2,1,55,0.291,200.28,5.053,278.488,100944.208,1.251
2012,5,2,2,0,0.296,200.819,5.075,278.452,100944.208,1.251
2012,5,2,2,5,0.306,200.934,5.121,278.412,100942.376,1.251
2012,5,2,2,10,0.316,200.561,5.16,278.373,100943.288,1.252
2012,5,2,2,15,0.324,200.127,5.197,278.33,100944.208,1.252
2012,5,2,2,20,0.336,200.215,5.246,278.284,100940.544,1.252
2012,5,2,2,25,0.346,200.456,5.291,278.238,100941.464,1.252
2012,5,2,2,30,0.366,200.989,5.374,278.196,100944.208,1.252
2012,5,2,2,35,0.393,201.764,5.493,278.153,100942.376,1.253
