时间,,测风塔70m风速,测风塔70m风向,温度,气压,湿度,实际发电功率
2017-1-1 0:00:00,1,6.80 ,275.6 ,-0.77,832.0 ,42 ,43.6 
2017-1-1 0:15:00,2,6.20 ,282.3 ,-0.75,831.6 ,42 ,46.4 
2017-1-1 0:30:00,3,5.70 ,278.3 ,-1.00,831.0 ,43 ,48.4 
2017-1-1 0:45:00,4,6.30 ,278.7 ,-0.98,831.0 ,43 ,48.4 
2017-1-1 1:00:00,5,6.40 ,278.4 ,-0.98,831.0 ,44 ,52.9 
2017-1-1 1:15:00,6,6.30 ,285.5 ,-1.04,831.0 ,44 ,56.3 
2017-1-1 1:30:00,7,7.10 ,275.9 ,-1.18,831.0 ,44 ,58.4 
2017-1-1 1:45:00,8,7.00 ,278.9 ,-1.22,831.0 ,46 ,53.6 
2017-1-1 2:00:00,9,6.90 ,273.6 ,-1.24,830.7 ,46 ,49.6 
2017-1-1 2:15:00,10,6.80 ,271.5 ,-1.23,830.3 ,47 ,51.2 
2017-1-1 2:30:00,11,6.80 ,266.1 ,-1.51,831.0 ,48 ,49.0 
2017-1-1 2:45:00,12,6.60 ,254.1 ,-1.53,831.0 ,48 ,49.0 
2017-1-1 3:00:00,13,6.50 ,248.0 ,-1.54,831.0 ,48 ,45.7 
2017-1-1 3:15:00,14,6.50 ,260.8 ,-1.56,831.0 ,48 ,39.4 
2017-1-1 3:30:00,15,6.60 ,274.8 ,-1.65,831.0 ,49 ,29.9 
2017-1-1 3:45:00,16,6.50 ,273.1 ,-1.80,831.0 ,50 ,27.5 
2017-1-1 4:00:00,17,6.50 ,254.9 ,-2.18,831.0 ,52 ,29.0 
2017-1-1 4:15:00,18,6.40 ,269.6 ,-2.34,831.0 ,52 ,25.8 
2017-1-1 4:30:00,19,6.40 ,290.9 ,-2.33,830.0 ,53 ,21.8 
2017-1-1 4:45:00,20,6.60 ,283.9 ,-2.35,830.0 ,54 ,16.0 
2017-1-1 5:00:00,21,6.50 ,284.6 ,-2.11,830.0 ,54 ,11.8 
2017-1-1 5:15:00,22,6.50 ,286.5 ,-1.93,830.0 ,54 ,9.8 
2017-1-1 5:30:00,23,6.70 ,284.7 ,-1.56,830.0 ,54 ,10.2 
2017-1-1 5:45:00,24,6.20 ,284.5 ,-1.36,830.0 ,54 ,10.7 
2017-1-1 6:00:00,25,6.00 ,310.2 ,-1.01,830.0 ,55 ,7.4 
2017-1-1 6:15:00,26,5.90 ,297.0 ,-0.83,830.0 ,55 ,5.3 
2017-1-1 6:30:00,27,5.70 ,284.1 ,-0.36,830.0 ,55 ,3.4 
2017-1-1 6:45:00,28,5.70 ,288.3 ,-0.31,831.0 ,56 ,2.0 
2017-1-1 7:00:00,29,5.70 ,300.0 ,0.10,831.0 ,56 ,1.5 
2017-1-1 7:15:00,30,5.70 ,293.3 ,0.38,831.0 ,56 ,0.6 
2017-1-1 7:30:00,31,5.90 ,301.9 ,0.94,831.0 ,54 ,0.1 
2017-1-1 7:45:00,32,5.70 ,302.1 ,0.88,831.0 ,53 ,0.1 
2017-1-1 8:00:00,33,5.70 ,317.4 ,0.76,831.0 ,53 ,0.0 
2017-1-1 8:15:00,34,5.70 ,339.1 ,0.55,831.0 ,54 ,0.0 
2017-1-1 8:30:00,35,5.90 ,332.8 ,0.74,831.0 ,53 ,0.0 
2017-1-1 8:45:00,36,5.70 ,339.8 ,0.81,831.0 ,53 ,0.0 
2017-1-1 9:00:00,37,5.80 ,340.8 ,0.81,831.0 ,53 ,0.2 
2017-1-1 9:15:00,38,5.60 ,344.1 ,0.36,831.6 ,54 ,3.5 
2017-1-1 9:30:00,39,5.80 ,342.1 ,-0.57,832.0 ,54 ,14.6 
2017-1-1 9:45:00,40,5.90 ,339.7 ,-2.40,832.0 ,55 ,22.3 
2017-1-1 10:00:00,41,5.80 ,341.5 ,-3.94,832.3 ,55 ,31.4 
2017-1-1 10:15:00,42,5.70 ,337.9 ,-4.00,832.9 ,53 ,34.4 
2017-1-1 10:30:00,43,5.90 ,346.4 ,-4.04,832.9 ,54 ,36.5 
2017-1-1 10:45:00,44,5.90 ,346.3 ,-3.85,832.9 ,53 ,35.9 
2017-1-1 11:00:00,45,5.70 ,348.4 ,-3.71,832.9 ,53 ,44.9 
2017-1-1 11:15:00,46,5.60 ,346.2 ,-3.44,832.9 ,53 ,48.5 
2017-1-1 11:30:00,47,5.30 ,342.5 ,-3.16,832.9 ,52 ,57.1 
2017-1-1 11:45:00,48,5.30 ,352.2 ,-2.80,832.9 ,51 ,61.6 
2017-1-1 12:00:00,49,5.00 ,348.7 ,-2.66,832.9 ,51 ,61.1 
2017-1-1 12:15:00,50,5.20 ,347.3 ,-2.37,832.9 ,50 ,60.4 
2017-1-1 12:30:00,51,5.20 ,317.7 ,-1.86,832.9 ,48 ,54.5 
2017-1-1 12:45:00,52,5.20 ,326.2 ,-1.57,832.0 ,48 ,53.3 
2017-1-1 13:00:00,53,5.40 ,329.1 ,-1.65,832.2 ,49 ,51.3 
2017-1-1 13:15:00,54,5.40 ,328.2 ,-1.55,832.0 ,49 ,41.7 
2017-1-1 13:30:00,55,4.60 ,337.5 ,-1.20,832.0 ,47 ,34.9 
2017-1-1 13:45:00,56,4.60 ,337.4 ,-1.28,832.0 ,48 ,30.1 
2017-1-1 14:00:00,57,4.70 ,317.1 ,-0.72,832.0 ,46 ,26.6 
2017-1-1 14:15:00,58,4.40 ,314.2 ,-0.62,832.0 ,46 ,23.1 
2017-1-1 14:30:00,59,4.10 ,337.0 ,-0.89,832.0 ,46 ,20.7 
2017-1-1 14:45:00,60,4.10 ,313.9 ,-1.18,832.0 ,47 ,17.6 
2017-1-1 15:00:00,61,4.10 ,311.5 ,-1.15,832.0 ,47 ,18.2 
2017-1-1 15:15:00,62,4.10 ,324.0 ,-1.41,832.0 ,49 ,18.2 
2017-1-1 15:30:00,63,3.50 ,309.8 ,-1.44,832.0 ,49 ,15.0 
2017-1-1 15:45:00,64,3.40 ,314.9 ,-1.14,832.0 ,48 ,12.3 
2017-1-1 16:00:00,65,3.10 ,309.3 ,-0.90,832.0 ,47 ,11.6 
2017-1-1 16:15:00,66,2.70 ,304.5 ,-0.77,832.0 ,46 ,11.2 
2017-1-1 16:30:00,67,2.30 ,285.3 ,-0.61,832.9 ,46 ,10.7 
2017-1-1 16:45:00,68,2.20 ,291.8 ,-0.23,832.6 ,45 ,10.1 
2017-1-1 17:00:00,69,2.10 ,311.1 ,-0.68,832.6 ,47 ,7.0 
2017-1-1 17:15:00,70,2.10 ,303.8 ,-1.24,832.9 ,49 ,4.9 
2017-1-1 17:30:00,71,2.00 ,322.2 ,-1.68,832.9 ,50 ,3.7 
2017-1-1 17:45:00,72,1.70 ,307.2 ,-1.87,832.9 ,51 ,2.7 
2017-1-1 18:00:00,73,1.60 ,293.1 ,-2.02,832.9 ,52 ,2.2 
2017-1-1 18:15:00,74,1.90 ,288.6 ,-2.04,832.9 ,52 ,2.2 
2017-1-1 18:30:00,75,1.40 ,300.6 ,-2.23,832.9 ,53 ,2.9 
2017-1-1 18:45:00,76,1.70 ,299.4 ,-2.60,832.9 ,55 ,2.9 
2017-1-1 19:00:00,77,1.20 ,301.7 ,-2.53,832.9 ,56 ,1.1 
2017-1-1 19:15:00,78,1.30 ,285.7 ,-2.31,832.9 ,55 ,0.0 
2017-1-1 19:30:00,79,1.30 ,289.6 ,-2.14,832.9 ,54 ,0.0 
2017-1-1 19:45:00,80,1.10 ,300.8 ,-1.98,833.7 ,53 ,0.0 
2017-1-1 20:00:00,81,2.10 ,286.1 ,-1.56,834.0 ,50 ,0.0 
2017-1-1 20:15:00,82,2.20 ,277.3 ,-1.34,834.0 ,48 ,0.0 
2017-1-1 20:30:00,83,1.60 ,295.0 ,-0.96,834.0 ,45 ,0.0 
2017-1-1 20:45:00,84,1.90 ,296.6 ,-1.11,834.0 ,45 ,0.0 
2017-1-1 21:00:00,85,1.70 ,292.7 ,-1.22,832.9 ,45 ,0.0 
2017-1-1 21:15:00,86,2.00 ,286.4 ,-1.43,832.9 ,46 ,0.0 
2017-1-1 21:30:00,87,1.50 ,281.4 ,-1.69,832.9 ,47 ,0.0 
2017-1-1 21:45:00,88,1.60 ,293.6 ,-1.78,833.3 ,47 ,0.0 
2017-1-1 22:00:00,89,0.60 ,289.9 ,-1.86,833.4 ,47 ,0.0 
2017-1-1 22:15:00,90,0.60 ,284.8 ,-1.66,834.0 ,46 ,0.0 
2017-1-1 22:30:00,91,1.40 ,262.7 ,-1.88,834.0 ,48 ,0.1 
2017-1-1 22:45:00,92,0.80 ,271.7 ,-2.13,834.0 ,49 ,0.0 
2017-1-1 23:00:00,93,1.00 ,280.4 ,-2.08,834.0 ,49 ,2.8 
2017-1-1 23:15:00,94,1.10 ,274.9 ,-2.25,834.0 ,50 ,8.3 
2017-1-1 23:30:00,95,2.60 ,267.4 ,-2.62,833.7 ,51 ,6.9 
2017-1-1 23:45:00,96,3.30 ,270.6 ,-2.90,834.0 ,52 ,11.8 
2017-1-2 0:00:00,97,3.10 ,266.1 ,-3.48,832.9 ,54 ,20.5 
2017-1-2 0:15:00,98,3.90 ,275.8 ,-3.04,832.9 ,53 ,19.8 
2017-1-2 0:30:00,99,3.70 ,294.2 ,-2.97,832.9 ,52 ,17.6 
2017-1-2 0:45:00,100,3.50 ,301.9 ,-2.79,832.9 ,51 ,18.7 
2017-1-2 1:00:00,101,3.60 ,279.5 ,-2.62,832.9 ,50 ,14.1 
2017-1-2 1:15:00,102,4.60 ,278.5 ,-2.61,832.9 ,50 ,14.3 
2017-1-2 1:30:00,103,3.80 ,292.8 ,-2.65,832.9 ,51 ,16.5 
2017-1-2 1:45:00,104,4.10 ,293.7 ,-2.89,832.9 ,51 ,16.2 
2017-1-2 2:00:00,105,4.50 ,290.1 ,-2.78,832.9 ,52 ,16.1 
2017-1-2 2:15:00,106,4.50 ,303.5 ,-2.78,832.9 ,53 ,15.8 
2017-1-2 2:30:00,107,4.70 ,283.8 ,-3.04,832.9 ,54 ,13.3 
2017-1-2 2:45:00,108,4.70 ,281.7 ,-3.45,832.9 ,55 ,12.8 
2017-1-2 3:00:00,109,4.90 ,293.5 ,-3.15,832.9 ,55 ,17.5 
2017-1-2 3:15:00,110,4.80 ,302.6 ,-3.02,832.9 ,54 ,26.2 
2017-1-2 3:30:00,111,4.60 ,311.3 ,-3.16,832.9 ,55 ,29.4 
2017-1-2 3:45:00,112,5.00 ,316.2 ,-2.54,832.9 ,53 ,34.5 
2017-1-2 4:00:00,113,4.60 ,294.4 ,-2.71,832.9 ,54 ,38.4 
2017-1-2 4:15:00,114,4.70 ,311.6 ,-3.02,832.9 ,56 ,42.0 
2017-1-2 4:30:00,115,4.60 ,303.8 ,-3.25,832.9 ,56 ,46.0 
2017-1-2 4:45:00,116,4.00 ,299.7 ,-3.40,832.0 ,57 ,49.2 
2017-1-2 5:00:00,117,3.90 ,302.6 ,-3.47,832.0 ,57 ,50.1 
2017-1-2 5:15:00,118,3.90 ,301.3 ,-3.60,832.0 ,57 ,49.9 
2017-1-2 5:30:00,119,3.70 ,292.6 ,-3.48,832.0 ,57 ,46.0 
2017-1-2 5:45:00,120,3.90 ,278.4 ,-3.65,832.0 ,57 ,46.8 
2017-1-2 6:00:00,121,3.50 ,277.7 ,-3.91,832.0 ,58 ,51.7 
2017-1-2 6:15:00,122,3.30 ,280.6 ,-3.69,832.0 ,58 ,58.9 
2017-1-2 6:30:00,123,3.50 ,284.9 ,-3.95,832.0 ,59 ,62.5 
2017-1-2 6:45:00,124,3.40 ,282.1 ,-4.36,832.0 ,60 ,66.6 
2017-1-2 7:00:00,125,3.60 ,280.3 ,-4.67,832.0 ,61 ,67.7 
2017-1-2 7:15:00,126,3.90 ,279.7 ,-3.47,832.0 ,57 ,61.7 
2017-1-2 7:30:00,127,4.10 ,277.5 ,-3.44,832.3 ,56 ,57.8 
2017-1-2 7:45:00,128,3.60 ,279.2 ,-3.85,832.9 ,57 ,60.5 
2017-1-2 8:00:00,129,3.20 ,280.2 ,-4.07,832.9 ,58 ,58.5 
2017-1-2 8:15:00,130,3.80 ,283.8 ,-3.90,832.9 ,57 ,55.6 
2017-1-2 8:30:00,131,3.90 ,284.3 ,-3.49,832.9 ,55 ,44.6 
2017-1-2 8:45:00,132,4.20 ,284.6 ,-3.59,833.4 ,55 ,36.0 
2017-1-2 9:00:00,133,4.40 ,278.3 ,-3.62,834.0 ,56 ,36.9 
2017-1-2 9:15:00,134,4.30 ,277.7 ,-3.20,834.0 ,54 ,38.6 
2017-1-2 9:30:00,135,4.60 ,280.8 ,-3.02,834.0 ,54 ,37.2 
2017-1-2 9:45:00,136,5.20 ,286.0 ,-2.60,834.0 ,53 ,32.5 
2017-1-2 10:00:00,137,5.30 ,277.9 ,-2.29,834.0 ,53 ,26.8 
2017-1-2 10:15:00,138,4.80 ,276.1 ,-2.16,834.0 ,54 ,26.4 
2017-1-2 10:30:00,139,4.20 ,276.5 ,-1.73,834.0 ,53 ,26.6 
2017-1-2 10:45:00,140,4.00 ,275.0 ,-1.12,834.0 ,53 ,30.2 
2017-1-2 11:00:00,141,4.60 ,274.4 ,-0.10,834.0 ,51 ,31.6 
2017-1-2 11:15:00,142,4.60 ,269.2 ,-0.01,834.0 ,51 ,27.2 
2017-1-2 11:30:00,143,4.70 ,266.8 ,0.36,834.0 ,51 ,17.0 
2017-1-2 11:45:00,144,4.60 ,272.8 ,1.04,834.0 ,50 ,9.8 
2017-1-2 12:00:00,145,4.60 ,274.9 ,1.53,834.0 ,50 ,6.7 
2017-1-2 12:15:00,146,5.20 ,274.6 ,1.73,834.0 ,50 ,2.2 
2017-1-2 12:30:00,147,5.30 ,275.1 ,2.05,833.9 ,48 ,2.5 
2017-1-2 12:45:00,148,4.80 ,275.3 ,1.84,832.9 ,49 ,4.8 
2017-1-2 13:00:00,149,4.20 ,275.3 ,2.14,832.9 ,48 ,8.4 
2017-1-2 13:15:00,150,4.00 ,275.2 ,2.62,832.9 ,48 ,10.8 
2017-1-2 13:30:00,151,4.60 ,275.2 ,2.86,832.9 ,47 ,14.6 
2017-1-2 13:45:00,152,4.60 ,275.1 ,3.19,832.9 ,45 ,17.6 
2017-1-2 14:00:00,153,4.70 ,276.3 ,3.63,832.9 ,41 ,15.3 
2017-1-2 14:15:00,154,4.60 ,275.5 ,3.92,832.9 ,39 ,13.0 
2017-1-2 14:30:00,155,4.80 ,266.7 ,3.94,832.9 ,39 ,10.6 
2017-1-2 14:45:00,156,4.60 ,270.6 ,4.12,832.9 ,39 ,8.8 
2017-1-2 15:00:00,157,4.50 ,270.4 ,4.44,832.9 ,38 ,6.4 
2017-1-2 15:15:00,158,4.20 ,265.3 ,4.65,832.9 ,38 ,6.9 
2017-1-2 15:30:00,159,4.50 ,267.7 ,4.67,832.9 ,38 ,8.3 
2017-1-2 15:45:00,160,4.40 ,260.9 ,4.91,832.9 ,38 ,9.9 
2017-1-2 16:00:00,161,4.90 ,258.2 ,5.11,832.9 ,37 ,11.3 
2017-1-2 16:15:00,162,5.40 ,270.9 ,5.12,832.9 ,36 ,11.8 
2017-1-2 16:30:00,163,5.70 ,272.0 ,4.99,833.4 ,36 ,12.0 
2017-1-2 16:45:00,164,6.00 ,264.8 ,4.83,834.0 ,35 ,13.3 
2017-1-2 17:00:00,165,6.20 ,259.5 ,4.23,834.0 ,35 ,14.3 
2017-1-2 17:15:00,166,5.80 ,262.3 ,4.11,833.7 ,35 ,15.0 
2017-1-2 17:30:00,167,5.60 ,266.8 ,3.72,832.9 ,34 ,17.7 
2017-1-2 17:45:00,168,5.60 ,268.4 ,3.10,832.9 ,35 ,23.4 
2017-1-2 18:00:00,169,5.80 ,264.6 ,2.98,832.9 ,35 ,25.1 
2017-1-2 18:15:00,170,5.80 ,263.3 ,2.54,832.9 ,33 ,28.1 
2017-1-2 18:30:00,171,5.50 ,268.0 ,2.06,832.9 ,30 ,31.5 
2017-1-2 18:45:00,172,5.80 ,275.5 ,1.88,832.9 ,30 ,30.5 
2017-1-2 19:00:00,173,5.70 ,271.8 ,1.66,832.9 ,30 ,31.5 
2017-1-2 19:15:00,174,5.80 ,243.0 ,1.33,832.9 ,30 ,32.5 
2017-1-2 19:30:00,175,5.50 ,258.2 ,1.30,832.9 ,31 ,32.7 
2017-1-2 19:45:00,176,5.90 ,263.3 ,1.14,832.9 ,32 ,37.2 
2017-1-2 20:00:00,177,5.50 ,261.3 ,1.09,832.9 ,32 ,41.3 
2017-1-2 20:15:00,178,5.60 ,250.2 ,1.67,833.3 ,31 ,37.4 
2017-1-2 20:30:00,179,5.60 ,254.1 ,1.51,834.0 ,31 ,35.8 
2017-1-2 20:45:00,180,5.10 ,250.7 ,1.57,834.0 ,31 ,37.7 
2017-1-2 21:00:00,181,5.20 ,235.3 ,1.79,834.0 ,30 ,38.5 
2017-1-2 21:15:00,182,5.10 ,229.9 ,2.01,834.0 ,29 ,43.1 
2017-1-2 21:30:00,183,5.10 ,229.5 ,2.19,834.0 ,26 ,43.3 
2017-1-2 21:45:00,184,5.30 ,221.6 ,2.11,834.0 ,26 ,42.2 
2017-1-2 22:00:00,185,5.20 ,216.7 ,2.17,834.0 ,25 ,39.5 
2017-1-2 22:15:00,186,5.10 ,219.4 ,2.25,834.0 ,25 ,37.3 
2017-1-2 22:30:00,187,4.80 ,216.4 ,2.34,834.0 ,25 ,32.9 
2017-1-2 22:45:00,188,4.90 ,206.7 ,2.46,834.0 ,24 ,29.0 
2017-1-2 23:00:00,189,4.40 ,204.9 ,2.59,834.0 ,24 ,26.2 
2017-1-2 23:15:00,190,2.70 ,212.7 ,2.72,834.0 ,24 ,24.3 
2017-1-2 23:30:00,191,2.90 ,213.6 ,2.61,834.0 ,24 ,22.2 
2017-1-2 23:45:00,192,2.80 ,207.5 ,2.56,834.0 ,24 ,21.7 
2017-1-3 0:00:00,193,2.90 ,209.4 ,2.50,834.0 ,23 ,18.3 
2017-1-3 0:15:00,194,3.30 ,219.4 ,2.44,833.0 ,24 ,16.5 
2017-1-3 0:30:00,195,3.40 ,270.6 ,2.73,832.9 ,24 ,15.8 
2017-1-3 0:45:00,196,3.40 ,270.4 ,2.80,832.9 ,24 ,12.7 
2017-1-3 1:00:00,197,3.90 ,265.3 ,2.79,832.9 ,23 ,11.4 
2017-1-3 1:15:00,198,3.50 ,267.7 ,2.62,832.9 ,24 ,10.8 
2017-1-3 1:30:00,199,3.80 ,260.9 ,2.45,832.9 ,24 ,9.4 
2017-1-3 1:45:00,200,4.00 ,258.2 ,2.52,832.9 ,24 ,8.6 
2017-1-3 2:00:00,201,3.90 ,270.9 ,2.24,832.9 ,25 ,5.7 
2017-1-3 2:15:00,202,4.40 ,272.0 ,1.80,832.9 ,25 ,5.0 
2017-1-3 2:30:00,203,5.50 ,264.8 ,1.88,832.9 ,25 ,5.1 
2017-1-3 2:45:00,204,5.30 ,259.5 ,1.94,832.9 ,25 ,4.6 
2017-1-3 3:00:00,205,5.10 ,262.3 ,0.92,832.9 ,26 ,3.6 
2017-1-3 3:15:00,206,4.70 ,266.8 ,-0.57,832.9 ,29 ,2.9 
2017-1-3 3:30:00,207,4.60 ,268.4 ,0.45,832.9 ,28 ,4.4 
2017-1-3 3:45:00,208,4.60 ,264.6 ,0.90,832.9 ,27 ,5.8 
2017-1-3 4:00:00,209,4.30 ,263.3 ,2.36,832.9 ,24 ,8.1 
2017-1-3 4:15:00,210,3.90 ,268.0 ,2.33,832.9 ,24 ,8.6 
2017-1-3 4:30:00,211,4.30 ,275.5 ,2.51,832.6 ,23 ,7.1 
2017-1-3 4:45:00,212,4.20 ,271.8 ,2.69,832.0 ,23 ,4.9 
2017-1-3 5:00:00,213,4.10 ,243.0 ,2.48,832.0 ,23 ,3.1 
2017-1-3 5:15:00,214,4.20 ,258.2 ,0.13,832.0 ,27 ,2.6 
2017-1-3 5:30:00,215,4.20 ,263.3 ,0.37,832.0 ,27 ,1.9 
2017-1-3 5:45:00,216,5.10 ,261.3 ,0.42,832.0 ,27 ,1.0 
2017-1-3 6:00:00,217,4.70 ,250.2 ,0.33,832.0 ,27 ,0.7 
2017-1-3 6:15:00,218,4.60 ,254.1 ,0.17,832.0 ,27 ,1.4 
2017-1-3 6:30:00,219,4.60 ,250.7 ,0.19,832.0 ,27 ,3.0 
2017-1-3 6:45:00,220,4.30 ,235.3 ,0.52,832.0 ,26 ,1.9 
2017-1-3 7:00:00,221,3.90 ,229.9 ,0.98,832.0 ,25 ,1.1 
2017-1-3 7:15:00,222,4.30 ,229.5 ,1.40,832.0 ,24 ,0.7 
2017-1-3 7:30:00,223,4.20 ,221.6 ,1.34,832.0 ,24 ,1.1 
2017-1-3 7:45:00,224,4.10 ,216.7 ,1.13,832.0 ,24 ,0.6 
2017-1-3 8:00:00,225,4.20 ,219.4 ,1.42,832.0 ,24 ,0.7 
2017-1-3 8:15:00,226,4.20 ,216.4 ,1.59,832.0 ,23 ,0.2 
2017-1-3 8:30:00,227,4.40 ,206.7 ,1.92,832.0 ,23 ,0.0 
2017-1-3 8:45:00,228,5.40 ,204.9 ,2.22,832.5 ,22 ,0.2 
2017-1-3 9:00:00,229,5.60 ,212.7 ,2.20,832.9 ,22 ,0.3 
2017-1-3 9:15:00,230,5.60 ,213.6 ,2.69,832.9 ,22 ,0.2 
2017-1-3 9:30:00,231,6.20 ,207.5 ,3.90,832.9 ,21 ,0.1 
2017-1-3 9:45:00,232,6.00 ,209.4 ,3.70,832.3 ,22 ,0.0 
2017-1-3 10:00:00,233,6.20 ,219.4 ,3.32,832.9 ,22 ,0.0 
2017-1-3 10:15:00,234,6.30 ,218.1 ,3.72,832.6 ,22 ,0.0 
2017-1-3 10:30:00,235,6.30 ,215.3 ,4.06,832.0 ,22 ,0.0 
2017-1-3 10:45:00,236,6.10 ,213.9 ,3.86,832.9 ,22 ,0.0 
2017-1-3 11:00:00,237,5.90 ,219.7 ,3.40,832.9 ,23 ,0.2 
2017-1-3 11:15:00,238,6.10 ,212.3 ,4.21,832.9 ,21 ,0.7 
2017-1-3 11:30:00,239,6.20 ,201.1 ,3.52,832.0 ,23 ,1.4 
2017-1-3 11:45:00,240,6.80 ,212.0 ,3.75,832.0 ,25 ,1.3 
2017-1-3 12:00:00,241,5.90 ,220.7 ,4.14,832.0 ,24 ,2.2 
2017-1-3 12:15:00,242,6.50 ,216.9 ,4.17,832.0 ,23 ,4.7 
2017-1-3 12:30:00,243,6.30 ,209.5 ,4.36,831.2 ,23 ,7.4 
2017-1-3 12:45:00,244,5.60 ,216.7 ,4.48,831.0 ,23 ,8.4 
2017-1-3 13:00:00,245,6.20 ,217.4 ,4.85,831.0 ,21 ,7.8 
2017-1-3 13:15:00,246,6.60 ,214.5 ,4.82,830.7 ,22 ,7.6 
2017-1-3 13:30:00,247,7.00 ,213.2 ,5.25,830.0 ,22 ,7.1 
2017-1-3 13:45:00,248,7.20 ,216.1 ,5.52,830.0 ,22 ,9.0 
2017-1-3 14:00:00,249,7.10 ,213.4 ,5.35,830.0 ,21 ,10.7 
2017-1-3 14:15:00,250,6.70 ,206.2 ,5.30,829.0 ,22 ,12.8 
2017-1-3 14:30:00,251,6.70 ,204.8 ,5.58,829.0 ,24 ,13.4 
2017-1-3 14:45:00,252,6.90 ,203.5 ,5.71,829.0 ,24 ,12.6 
2017-1-3 15:00:00,253,7.20 ,197.3 ,5.82,829.0 ,24 ,15.2 
2017-1-3 15:15:00,254,7.00 ,209.7 ,6.17,829.0 ,23 ,17.8 
2017-1-3 15:30:00,255,6.80 ,207.3 ,6.04,829.0 ,23 ,18.0 
2017-1-3 15:45:00,256,7.00 ,199.2 ,6.14,829.0 ,23 ,18.2 
2017-1-3 16:00:00,257,7.40 ,201.6 ,6.15,829.0 ,23 ,20.4 
2017-1-3 16:15:00,258,7.90 ,198.9 ,6.00,829.0 ,23 ,23.7 
2017-1-3 16:30:00,259,8.10 ,197.0 ,5.87,829.0 ,25 ,26.0 
2017-1-3 16:45:00,260,8.20 ,198.4 ,5.59,829.0 ,27 ,26.7 
2017-1-3 17:00:00,261,8.20 ,202.2 ,5.44,829.0 ,29 ,24.1 
2017-1-3 17:15:00,262,8.10 ,206.9 ,5.23,829.0 ,30 ,22.1 
2017-1-3 17:30:00,263,8.00 ,212.3 ,4.84,829.0 ,32 ,23.1 
2017-1-3 17:45:00,264,7.60 ,212.5 ,4.21,829.0 ,33 ,26.3 
2017-1-3 18:00:00,265,7.90 ,213.2 ,3.54,829.0 ,35 ,29.8 
2017-1-3 18:15:00,266,7.90 ,214.4 ,3.30,829.0 ,36 ,32.6 
2017-1-3 18:30:00,267,7.60 ,221.4 ,2.96,829.0 ,36 ,37.0 
2017-1-3 18:45:00,268,7.40 ,227.0 ,2.82,829.0 ,37 ,38.6 
2017-1-3 19:00:00,269,7.10 ,234.8 ,2.74,829.0 ,38 ,41.8 
2017-1-3 19:15:00,270,6.90 ,241.5 ,2.67,829.0 ,38 ,45.7 
2017-1-3 19:30:00,271,7.00 ,228.2 ,2.49,829.0 ,39 ,51.0 
2017-1-3 19:45:00,272,6.30 ,204.3 ,2.33,829.0 ,40 ,56.9 
2017-1-3 20:00:00,273,6.50 ,189.9 ,2.36,829.0 ,41 ,54.0 
2017-1-3 20:15:00,274,6.20 ,203.2 ,2.24,829.0 ,42 ,50.1 
2017-1-3 20:30:00,275,6.20 ,210.3 ,2.10,829.0 ,44 ,52.7 
2017-1-3 20:45:00,276,6.30 ,212.8 ,1.77,829.0 ,45 ,52.5 
2017-1-3 21:00:00,277,6.10 ,215.3 ,1.67,829.0 ,47 ,50.6 
2017-1-3 21:15:00,278,6.20 ,215.4 ,1.58,829.0 ,47 ,50.3 
2017-1-3 21:30:00,279,5.90 ,215.1 ,1.54,829.0 ,48 ,48.6 
2017-1-3 21:45:00,280,5.80 ,213.1 ,1.53,829.0 ,49 ,46.0 
2017-1-3 22:00:00,281,5.70 ,212.4 ,1.38,829.0 ,51 ,43.6 
2017-1-3 22:15:00,282,5.30 ,218.1 ,1.30,829.0 ,52 ,42.5 
2017-1-3 22:30:00,283,5.10 ,214.9 ,1.07,829.0 ,53 ,44.1 
2017-1-3 22:45:00,284,5.10 ,211.8 ,1.02,829.0 ,53 ,45.2 
2017-1-3 23:00:00,285,4.80 ,215.9 ,0.69,829.0 ,55 ,44.2 
2017-1-3 23:15:00,286,4.90 ,217.5 ,0.76,829.0 ,55 ,49.7 
2017-1-3 23:30:00,287,4.80 ,216.9 ,1.01,829.0 ,54 ,53.1 
2017-1-3 23:45:00,288,4.80 ,215.6 ,1.17,829.0 ,54 ,49.0 
2017-1-4 0:00:00,289,5.00 ,212.5 ,0.97,829.0 ,55 ,49.4 
2017-1-4 0:15:00,290,5.40 ,211.9 ,0.92,829.0 ,57 ,48.8 
2017-1-4 0:30:00,291,5.20 ,212.1 ,0.86,829.0 ,57 ,51.9 
2017-1-4 0:45:00,292,5.10 ,206.4 ,0.28,829.0 ,58 ,51.9 
2017-1-4 1:00:00,293,5.20 ,208.6 ,0.21,829.0 ,59 ,51.5 
2017-1-4 1:15:00,294,5.40 ,210.6 ,0.10,829.0 ,60 ,51.0 
2017-1-4 1:30:00,295,5.70 ,208.6 ,0.00,828.3 ,61 ,50.6 
2017-1-4 1:45:00,296,5.90 ,198.0 ,-0.02,828.6 ,62 ,47.5 
2017-1-4 2:00:00,297,5.60 ,191.1 ,0.27,828.7 ,62 ,47.9 
2017-1-4 2:15:00,298,5.80 ,201.5 ,0.77,828.3 ,61 ,47.7 
2017-1-4 2:30:00,299,5.30 ,210.3 ,0.56,827.9 ,62 ,50.6 
2017-1-4 2:45:00,300,4.70 ,213.9 ,0.39,827.9 ,62 ,46.4 
